pathway	COMMON-NAME	TAXONOMIC-RANGE
PWY-6922	N&delta;-acetyl-L-ornithine biosynthesis	TAX-33090
PWY-6922	L-N5-acetylornithine biosynthesis	
PWY-4702	phytate degradation I	TAX-33090
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	TAX-33154
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis	TAX-2157
UDPNAGSYN-PWY		TAX-2
PWY-5873	ubiquinol-7 biosynthesis (eukaryotic)	TAX-4751
PWY-5873	ubiquinone-7 biosynthesis (eukaryotic)	
PWY-6266	superpathway of flavones and derivatives biosynthesis	TAX-33090
PWY3O-450	phosphatidylcholine biosynthesis I	TAX-2
PWY3O-450	CDP-choline pathway	TAX-2759
PWY3O-450	Kennedy pathway	
PWY-7332	superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	TAX-2
PWY-6823	molybdenum cofactor biosynthesis	TAX-2157
PWY-6823	moco biosynthesis	TAX-2
PWY-6823	molybdopterin biosynthesis	TAX-2759
PWY-6958	icosapentaenoate biosynthesis I (lower eukaryotes)	TAX-3041
PWY-6958	eicosapentaenoate biosynthesis I (lower eukaryotes)	TAX-3208
PWY-7619	juniperonate biosynthesis	TAX-2759
PWY-7619	5,11,14,17-icosatetraenoic acid biosynthesis	
PWY-7619	5,11,14,17-icosatetraenoate biosynthesis	
PWY-7619	juniperonic acid biosynthesis	
PWY-6619	adenine and adenosine salvage VI	TAX-2759
PWY-6619		TAX-2
PWY-6619		TAX-2157
PWY-1501	mandelate degradation I	TAX-1224
PWY-5177	glutaryl-CoA degradation	TAX-33208
PWY-5177		TAX-4751
PWY-5177		TAX-2
PWY-2055	superpathway of pterocarpan biosynthesis (via daidzein)	TAX-3803
PWY-6182	superpathway of salicylate degradation	TAX-2
PWY-7571	ferrichrome A biosynthesis	TAX-4751
PWY-6766	salicin biosynthesis	TAX-40685
PWY-6766		TAX-3689
PWY-5661	GDP-glucose biosynthesis	TAX-2759
PWY-5661		TAX-2
PWY-5661		TAX-2157
PWY-6664	di-myo-inositol phosphate biosynthesis	TAX-2
PWY-6664		TAX-2157
PWY-7426	mannosyl-glycoprotein N-acetylglucosaminyltransferases	TAX-2759
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	TAX-2
PWY-6339	syringate degradation	TAX-2
PWY-6287	neurosporene biosynthesis	TAX-2
TYRSYN	L-tyrosine biosynthesis I	TAX-4751
TYRSYN		TAX-33090
TYRSYN		TAX-2
TYRSYN		TAX-2157
PWY-6232	chrysoeriol biosynthesis	TAX-33090
PWY-6232	3'-O-Methylluteolin biosynthesis	
PWY-6232	5,7,4'-trihydroxy-3'-methoxyflavone biosynthesis	
PROPFERM-PWY	L-alanine fermentation to propanoate and acetate	TAX-1239
PROPFERM-PWY	propionate fermentation, nonrandomizing pathway	
PROPFERM-PWY	acrylate pathway	
PROPFERM-PWY	propionate fermentation	
PROPFERM-PWY	L-alanine fermentation to propionate and acetate	
TRNA-CHARGING-PWY	tRNA charging	TAX-2759
TRNA-CHARGING-PWY		TAX-2
TRNA-CHARGING-PWY		TAX-2157
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	TAX-2
PWY-6121		TAX-2759
PWY-3561	choline biosynthesis III	TAX-2157
PWY-3561		TAX-2
PWY-3561		TAX-2759
PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	TAX-2
PWY-7414	dTDP-&alpha;-D-mycaminose biosynthesis	TAX-1883
PWY-5826	hypoglycin biosynthesis	TAX-3193
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	TAX-2759
PWY-7229		TAX-2157
PWY-7229		TAX-2
PWY-6898	thiamine salvage III	TAX-4751
PWY-6898	thiamin salvage III	TAX-2157
PWY-6898		TAX-2
PWY-7338	10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)	TAX-4751
GLYSYN-PWY	glycine biosynthesis I	TAX-2
GLYSYN-PWY		TAX-2759
ARG-PRO-PWY	L-arginine degradation VI (arginase 2 pathway)	TAX-33090
ARG-PRO-PWY	L-proline biosynthesis from arginine	TAX-1117
ARG-PRO-PWY		TAX-4751
NADSYN-PWY	NAD biosynthesis II (from tryptophan)	TAX-2759
NADSYN-PWY	nicotinamide adenine dinucleotide biosynthesis	TAX-2
PWY-6605	adenine and adenosine salvage II	TAX-2759
PWY-6605	adenosine nucleosides salvage II	TAX-2
PWY-7303	3-dimethylallyl-4-hydroxybenzoate biosynthesis	TAX-2062
PWY-7279	aerobic respiration II (cytochrome c) (yeast)	TAX-4751
HSERMETANA-PWY	L-methionine biosynthesis III	TAX-4751
HSERMETANA-PWY	L-methionine biosynthesis by sulfhydrylation	TAX-2
PWY-7159	3,8-divinyl-chlorophyllide a biosynthesis III (aerobic, light independent)	TAX-241806
PWY-7159	light-independent aerobic 3,8-divinyl-chlorophyllide a biosynthesis	TAX-2
PWY-7159		TAX-1117
PWY-7159		TAX-3041
PWY-7159		TAX-3312
PWY-7159		TAX-3208
PWY0-1321	nitrate reduction III (dissimilatory)	TAX-2
PWY0-1321	formate to nitrate electron transfer	
GLUTATHIONESYN-PWY	glutathione biosynthesis	TAX-2
GLUTATHIONESYN-PWY		TAX-2759
PWY-6109	mangrove triterpenoid biosynthesis	TAX-40029
PWY-6109	taraxerol biosynthesis	
PWY-6109	germanicol biosynthesis	
PWY-7498	phenylpropanoids methylation (ice plant)	TAX-33090
PWY-7072	hopanoid biosynthesis (bacteria)	TAX-2
PWY-6767	4,4'-diapolycopenedioate biosynthesis	TAX-2
PWY-7377	cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)	TAX-2157
PWY-7377		TAX-2
PWY-6455	vancomycin resistance II	TAX-2
PWY-6455	D-ala-D-serine biosynthesis	
PWY-5815	rubber biosynthesis	TAX-33090
PWY-7437	protein O-[N-acetyl]-glucosylation	TAX-2759
GLUTAMATE-DEG1-PWY	L-glutamate degradation I	TAX-2759
GLUTAMATE-DEG1-PWY	GDH shunt	TAX-2157
GLUTAMATE-DEG1-PWY		TAX-2
PWY-6323	benzoylanthranilate biosynthesis	TAX-3568
PWY-6323	dianthalexins biosynthesis	TAX-3569
PWY-6323	N-benzoyl-4-methoxyanthranilic acid biosynthesis	
PWY4FS-6	phosphatidylethanolamine biosynthesis II	TAX-2759
PWY4FS-6	Kennedy pathway	
PWY0-1585	formate to nitrite electron transfer	
PWY0-1568	NADH to cytochrome bd oxidase electron transfer II	TAX-2
PWY0-1568		TAX-2157
PWY-6118	glycerol-3-phosphate shuttle	TAX-2759
PWY-6118	G3P shuttle	
PWY-6118	glycerol-3-P shuttle	
PWY-6577	farnesylcysteine salvage pathway	TAX-33090
PWY-6577	farnesylcysteine detoxification pathway	
PWY-6577	(E,E)-farnesyl diphosphate biosynthesis II	
PWY-6577	all trans-farnesyl diphosphate biosynthesis II	
PWY-6577	farnesylcysteine from farnesylated protein salvage pathway	
PWY-7815	poly(ribitol phosphate) wall teichoic acid biosynthesis I (B. subtilis)	TAX-1239
PWY-7815	ribitol teichoic acid biosynthesis	
PWY-7184	pyrimidine deoxyribonucleotides de novo biosynthesis I	TAX-2157
PWY-7184		TAX-2759
PWY-7184		TAX-2
PWY-3982	uracil degradation I (reductive)	TAX-2157
PWY-3982	&beta;-alanine biosynthesis	TAX-300275
PWY-3982		TAX-2
PWY-3982		TAX-33090
PWY-3982		TAX-40674
PWY-5353	arachidonate biosynthesis I (6-desaturase, lower eukaryotes)	TAX-4751
PWY-5353	arachidonic acid biosynthesis I (lower eukaryotes)	TAX-3041
PWY-5353		TAX-3208
PWY-2724	alkane oxidation	TAX-3193
PWY-2724	fatty acid &omega;-oxidation	TAX-4751
PWY-5109	2-methylbutanoate biosynthesis	TAX-33208
PWY-5109	2-methylbutyrate biosynthesis	
PWY-7511	protein ubiquitylation	TAX-2759
PWY-7267	anthocyanin biosynthesis (pelargonidin 3-O-glucoside)	TAX-58024
PWY-6372	1D-myo-inositol hexakisphosphate biosynthesis IV (Dictyostelium)	TAX-33083
PWY-6372	lipid-independent phytic acid biosynthesis	
PWY-6372	lipid-independent InsP6 biosynthesis	
PWY-6372	lipid-independent phytate biosynthesis	
PWY-6372	1D-myo-inositol hexakisphosphate biosynthesis (lipid-independent)	
PWY-6372	phytate biosynthesis	
PWY-7204	pyridoxal 5'-phosphate salvage II (plants)	TAX-33090
PWY-7204	vitamin B6 salvage (plants)	
PWY-7211	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	TAX-2759
PWY-7211		TAX-2
PWY-7211		TAX-2157
PWY-7602	icosapentaenoate biosynthesis V (8-desaturase, lower eukaryotes)	TAX-33682
PWY-7602		TAX-2830
PWY-2582	brassinosteroid biosynthesis II	TAX-3193
PWY-7174	S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation II	TAX-2
PWY-5989	stearate biosynthesis II (bacteria and plants)	TAX-33090
PWY-5989	stearic acid biosynthesis	TAX-2
PWY-6443	benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)	TAX-3193
PWY-6443	benzoic acid biosynthesis	
PWY-5690	TCA cycle II (plants and fungi)	TAX-4751
PWY-5690	TCA cycle -- aerobic respiration	TAX-33090
PWY-5690	tricarboxylic acid cycle	
PWY-5690	citric acid cycle	
PWY-5690	Szent-Gyorgyi-Krebs cycle	
PWY-5690	Krebs cycle	
P42-PWY	incomplete reductive TCA cycle	TAX-224756
P42-PWY	citric acid cycle variant	TAX-183939
P42-PWY	tricarboxylic acid cycle variant	TAX-183925
P42-PWY	TCA cycle variation I	
P42-PWY	incomplete reductive tricarboxylic acid cycle	
PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis	TAX-2759
PWY0-162	pyrimidine biosynthesis	TAX-2
PWY-7387	hypotaurine degradation	TAX-2
TEICHOICACID-PWY	poly(glycerol phosphate) wall teichoic acid biosynthesis	TAX-1239
TEICHOICACID-PWY	major teichoic acid biosynthesis	
TEICHOICACID-PWY	glycerol teichoic acid biosynthesis	
PWY-5336	carbon disulfide oxidation II (aerobic)	TAX-40674
PWY-5336	carbon disulphide oxidation	TAX-2
PWY-7410	ipsdienol biosynthesis	TAX-50557
PWY66-301	catecholamine biosynthesis	TAX-33208
PWY66-301	dopamine biosynthesis	
PWY66-301	noradrenaline biosynthesis	
PWY66-301	adrenaline biosynthesis	
PWY-5268	salvianin biosynthesis	TAX-3398
PWY-5320	kaempferol glycoside biosynthesis (Arabidopsis)	TAX-3700
BETSYN-PWY	glycine betaine biosynthesis I (Gram-negative bacteria)	TAX-1224
TRPCAT-PWY	L-tryptophan degradation I (via anthranilate)	TAX-2
TRPCAT-PWY	anthranilate pathway	
PWY-6907	thiamine diphosphate biosynthesis III (Staphylococcus)	TAX-2
PWY-6907	vitamin B1 biosynthesis III	
PWY-6907	thiamin diphosphate biosynthesis III (Staphylococcus)	
PWY-6342	noradrenaline and adrenaline degradation	TAX-7742
PWY-6342	norepinephrine and epinephrine degradation	
PWY-641	proanthocyanidins biosynthesis from flavanols	TAX-58023
PWY-7339	10-trans-heptadecenoyl-CoA degradation (MFE-dependent, yeast)	TAX-4751
PWY-7110	superpathway of megalomicin A biosynthesis	TAX-2
P261-PWY	coenzyme M biosynthesis I	TAX-1224
P261-PWY	CoM biosythesis	TAX-183988
P261-PWY	2-mercaptoethanesulfonic acid biosynthesis	TAX-224756
P261-PWY		TAX-183939
P261-PWY		TAX-183925
PWY3O-4106	NAD salvage pathway IV	TAX-33208
PWY3O-4106	nicotinamide riboside salvage pathway	TAX-4751
PWY3O-4106	nicotinamide adenine dinucleotide salvage	TAX-2
PANTO-PWY	phosphopantothenate biosynthesis I	TAX-4751
PANTO-PWY	vitamin B5 biosynthesis	TAX-33090
PANTO-PWY		TAX-2
PWY-6703	preQ0 biosynthesis	TAX-2
PWY-6703	deazapurine biosynthesis	
GLYCOCAT-PWY	glycogen degradation I	TAX-2
GLYCOCAT-PWY	glycogen catabolism I	
PWY0-1264	biotin-carboxyl carrier protein assembly	TAX-33090
PWY0-1264	BCCP assembly	TAX-2
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	TAX-2
GLUCUROCAT-PWY	D-glucuronate catabolism	
GLUCUROCAT-PWY	D-glucuronate degradation	
GLUCUROCAT-PWY	glucuronic acid degradation	
GLUCUROCAT-PWY	glucuronate degradation	
GLUCUROCAT-PWY	&beta;-D-glucuronide degradation	
PWY-7520	terrequinone A biosynthesis	TAX-4890
PWY-7520		TAX-4751
PWY-7178	ethylene glycol biosynthesis (engineered)	TAX-1224
PWY-5096	pyruvate fermentation to acetate and alanine	TAX-554915
PWY-5096	modified Embden-Meyerhof pathway	TAX-2157
PWY-5096	anaerobic glycolysis	
PWY-5096	fermentation	
PWY-5096	glycolysis 2	
PWY-5096	Embden-Meyerhof-Parnas pathway	
PWY-5096	EMP pathway	
PWY-5096	glycolysis II	
ASPARTATESYN-PWY	L-aspartate biosynthesis	TAX-2157
ASPARTATESYN-PWY	L-aspartate biosynthesis and degradation	TAX-2759
ASPARTATESYN-PWY		TAX-2
PWY-5340	sulfate activation for sulfonation	TAX-2759
PWY-5340	sulfation pathway	TAX-2
PWY-5025	indole-3-acetate biosynthesis IV (bacteria)	TAX-1224
PWY-5025	IAA biosynthesis IV (bacteria)	
PWY-7275	L-homophenylalanine biosynthesis	TAX-2
PWY-6176	superpathway of Allium flavor precursors	TAX-40553
PWY-6176		TAX-131567
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	TAX-2759
PWY-7197		TAX-2
PWY-7197		TAX-2157
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	TAX-2157
DTDPRHAMSYN-PWY		TAX-2
PWY-5530	sorbitol biosynthesis II	TAX-1224
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	TAX-2
PWY-5532	nucleoside and nucleotide degradation (archaea)	TAX-2157
PWY-5427	naphthalene degradation (aerobic)	TAX-2
PWY-6483	ceramide degradation	TAX-33090
PWY-6483		TAX-33154
PWYDQC-4	indole-3-acetate biosynthesis I	TAX-33090
PWYDQC-4	auxin biosynthesis	
PWYDQC-4	IPA auxin biosynthesis	
PWYDQC-4	IAA biosynthesis I	
PWY-6754	S-methyl-5'-thioadenosine degradation I	TAX-2157
PWY-6754		TAX-2
PWY-6754		TAX-3193
LACTOSEUTIL-PWY	lactose degradation II	TAX-1224
LACTOSEUTIL-PWY	lactose degradation 2	
PWY-5153	anthocyanin biosynthesis (delphinidin 3-O-glucoside)	TAX-58024
PWY-1722	formate assimilation into 5,10-methylenetetrahydrofolate	TAX-2759
PWY-1722		TAX-2157
PWY-1722		TAX-2
PWY-5823	superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis	TAX-91347
PWY-5823	superpathway of CDP-3,6-dideoxyhexose biosynthesis	
PWY-7824	prunasin and amygdalin biosynthesis	TAX-3745
PWY-5172	acetyl-CoA biosynthesis III (from citrate)	TAX-7742
PWY-5172		TAX-3193
PWY-722	nicotinate degradation I	TAX-1224
PWY-722	maleamate pathway	
PWY-722	nicotinate degradation	
PWY-4302	aerobic respiration III (alternative oxidase pathway)	TAX-33682
PWY-4302	alternative oxidase pathway	TAX-4751
PWY-4302		TAX-33090
P345-PWY	aldoxime degradation	TAX-4751
P345-PWY	aldoxime metabolism	TAX-2
P161-PWY	acetylene degradation	TAX-2
P161-PWY	acetylene fermentation	
PWY-6830	superpathway of methanogenesis	TAX-28890
PWY-6383	mono-trans, poly-cis decaprenyl phosphate biosynthesis	TAX-1762
PWY-5151	L-tyrosine degradation II	TAX-1239
PWY-5151		TAX-201174
PWY-7286	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	TAX-28890
PWY-7286	yW-72 biosynthesis	
PWY-5183	superpathway of aerobic toluene degradation	TAX-1224
PWY-5078	L-isoleucine degradation II	TAX-4751
PWY-5078	Ehrlich pathway	
PWY-6453	stigma estolide biosynthesis	TAX-4070
PWY-5461	betanidin degradation	TAX-3524
PWY-7164	chlorophyll a degradation III	TAX-3041
GLUTDEG-PWY	L-glutamate degradation II	TAX-2
GLUTDEG-PWY	L-aspartate degradation	
PWY-6284	superpathway of unsaturated fatty acids biosynthesis (E. coli)	TAX-2
PWY-7394	urate degradation to allantoin II	TAX-2
PWY-5482	pyruvate fermentation to acetate II	TAX-2
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	TAX-2
URSIN-PWY	ureide biosynthesis	TAX-3803
URSIN-PWY	ureide biogenesis	
PWY-6594	superpathway of Clostridium acetobutylicum solventogenic fermentation	TAX-1239
PWY-6594	acetobutylicum solventogenic fermentation	
P23-PWY	reductive TCA cycle I	TAX-3052
P23-PWY	reductive tricarboxylic acid cycle	TAX-1224
P23-PWY	reductive tricarboxylic acid pathway	TAX-2157
P23-PWY	reductive citric acid cycle	TAX-68336
P23-PWY	reverse citric acid cycle	TAX-200783
P23-PWY	carbon fixation	
P23-PWY	CO2 fixation	
P23-PWY	reductive carboxylic acid cycle	
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	TAX-4751
DENITRIFICATION-PWY	denitrification	TAX-2157
DENITRIFICATION-PWY	nitrate respiration	TAX-2
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	TAX-1883
PWY-5189		TAX-33682
PWY-5189		TAX-33630
PWY-5189		TAX-1224
PWY-5189		TAX-33208
PWY-5189		TAX-4751
PWY-6012-1	acyl carrier protein activation	TAX-2157
PWY-6012-1	[acp] metabolism	TAX-2759
PWY-6012-1	ACP metabolism	
PWY-6466	pyridoxal 5'-phosphate biosynthesis II	TAX-33090
PWY-6466	vitamin B6 biosynthesis	TAX-4751
PWY-6466		TAX-2157
PWY-6466		TAX-2
PWY-7082	ammonia oxidation IV (autotrophic ammonia oxidizers)	TAX-914
PWY-7082		TAX-1227
PWY-7082		TAX-35798
PWY-6039	chlorogenic acid biosynthesis I	TAX-33090
PWY-6039		TAX-24966
PWY-7165	L-ascorbate biosynthesis VI (engineered pathway)	TAX-2
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	TAX-2157
PWY-6122		TAX-2
PWY-7153	grixazone biosynthesis	TAX-1760
PWY-6609	adenine and adenosine salvage III	TAX-2157
PWY-6609	adenosine nucleotides salvage III	TAX-2759
PWY-6609		TAX-2
PWY-7308	acrylonitrile degradation I	TAX-1224
PWY-7308		TAX-201174
PWY-5271	phaseic acid biosynthesis	TAX-3398
PWY-5271	abscisate degradation I	
PWY-5271	abscisic acid degradation I	
PWY-5271	ABA hydroxylation pathway	
PWY-5271	abscisic acid hydroxylation pathway	
PWY-5271	8'-hydroxylation pathway	
PWY-6333	acetaldehyde biosynthesis I	TAX-33090
PWY-6333	anoxic acetaldehyde biosynthesis	
PWY-6333	flooding related acetaldehyde biosynthesis	
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	TAX-2
ASPARTATE-DEG1-PWY	L-aspartate degradation I	TAX-2759
ASPARTATE-DEG1-PWY		TAX-2157
ASPARTATE-DEG1-PWY		TAX-2
PWY-5173	superpathway of acetyl-CoA biosynthesis	TAX-3398
PWY-6630	superpathway of L-tyrosine biosynthesis	TAX-2
PWY-7535	lovastatin biosynthesis	TAX-4751
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	TAX-2
HEME-BIOSYNTHESIS-II		TAX-2759
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	TAX-1239
P162-PWY	L-glutamate fermentation	TAX-32066
PWYQT-4429	CO2 fixation into oxaloacetate (anaplerotic)	TAX-1117
PWYQT-4429		TAX-2157
PWYQT-4429		TAX-33090
PWY-6787	flavonoid biosynthesis (in equisetum)	TAX-33090
PWY-6787		TAX-3257
PWY-7379	mRNA capping II	TAX-10239
PWY-7379		TAX-33208
PWY-6366	D-myo-inositol (1,4,5,6)-tetrakisphosphate biosynthesis	TAX-2759
PWY-6785	hydrogen production VIII	TAX-3041
PWY-6785	photosynthetic hydrogen generation	TAX-1117
PWY-1121	suberin monomers biosynthesis	TAX-58023
PWY-6649	glycolate and glyoxylate degradation III	TAX-2
PWY-6649	3-hydroxyaspartate pathway	
PWY-6649	&beta;-hydroxyaspartate pathway	
PWY-31	canavanine degradation	TAX-3803
PWY-5531	3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)	TAX-2
PWY-7661	protein N-glycosylation (Haloferax volcanii)	TAX-2157
PWY-6942	dTDP-D-desosamine biosynthesis	TAX-2
PWY-7800	Ac/N-end rule pathway	TAX-2759
PWY-7800	N-Terminal acetylation-targeted N-End Rule pathway	
ACETATEUTIL-PWY	superpathway of acetate utilization and formation	TAX-2
ACETATEUTIL-PWY		TAX-2157
P303-PWY	ammonia oxidation II (anaerobic)	TAX-203682
P303-PWY	anammox	
P303-PWY	ammonium oxidation (anaerobic)	
P303-PWY	anaerobic ammonium oxidation	
PWY-6857	retinol biosynthesis	TAX-33208
PWY-6857	vitamin A biosynthesis	
PWY-6857	retinal biosynthesis	
PWY-6857	retinoid biosynthesis	
PWY-6773	1,3-&beta;-D-glucan biosynthesis	TAX-2759
PWY-6773	callose biosynthesis	TAX-2157
PWY-6773		TAX-2
TOLUENE-DEG-DIOL-PWY	toluene degradation to 2-oxopent-4-enoate (via toluene-cis-diol)	TAX-1224
TOLUENE-DEG-DIOL-PWY	toluene degradation via toluene-cis-diol	
PWY-7111	pyruvate fermentation to isobutanol (engineered)	TAX-2157
PWY-7111	isobutanol biosynthesis	TAX-2759
PWY-7111		TAX-2
PWYQT-4427	sulfoquinovosyl diacylglycerol biosynthesis	TAX-2
PWYQT-4427	SQDG biosynthesis	TAX-33634
PWYQT-4427		TAX-2763
PWYQT-4427		TAX-33090
PWY-4061	glutathione-mediated detoxification I	TAX-33154
PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	TAX-2759
PWY-5046	2-oxo acid dehydrogenase complex	TAX-2
PWY-5046	branched-chain &alpha;-keto acid dehydrogenase complex	TAX-2157
PWY-5676	acetyl-CoA fermentation to butanoate II	TAX-1239
PWY-7664	oleate biosynthesis IV (anaerobic)	TAX-2
PWY-7664	cis-7-hexadecenoate biosynthesis	
PWY-7664	cis-9-octadecenoate biosynthesis	
PWY-7664	(7Z)-hexadec-7-enoate biosynthesis	
PWY-7664	(9Z)-octadec-9-enoate biosynthesis	
PWY-7664	(7Z)-hexadecenoate biosynthesis	
PWY-7664	(9Z)-octadecenoate biosynthesis	
PWY-1801	formaldehyde oxidation II (glutathione-dependent)	TAX-2759
PWY-1801	formaldehyde oxidation II (GSH-dependent)	TAX-2
PWY-1186	L-homomethionine biosynthesis	TAX-3699
PWY-1186	L-methionine chain elongation pathway	
PWY-5425	oleoresin sesquiterpene volatiles biosynthesis	TAX-3313
PWY-7420	monoacylglycerol metabolism (yeast)	TAX-2759
TRESYN-PWY	trehalose biosynthesis I	TAX-6656
TRESYN-PWY	trehalose biosynthesis	TAX-2
TRESYN-PWY		TAX-4751
PWY-6105	botryococcenes and methylated squalene biosynthesis	TAX-38879
PWY-6105	botryococcene hydrocarbon biosynthesis	
PWY0-661	PRPP biosynthesis II	TAX-2
PWY0-661	5-phosphoribosyl 1-pyrophosphate biosynthesis	
PWY-5525	D-glucuronate degradation I	TAX-7742
PWY-5525	pentose pathway	
PWY-5525	glucuronic acid oxidation pathway	
PWY-5525	glucuronate/xylulose pathway	
PWY-5525	glucuronate degradation	
PWY-5800	xylan biosynthesis	TAX-33090
PWY-7438	superpathway of dTDP-glucose-derived antibiotic building blocks biosynthesis	TAX-2037
PWY-6035	2,3-cis-flavanols biosynthesis	TAX-33090
PWY-6035	2,3-cis-flavan-3-ols biosynthesis	
PWY-381	nitrate reduction II (assimilatory)	TAX-33090
PWY-381	nitrate assimilation	TAX-2763
PWY-7717	3-hydroxy-4-methyl-anthranilate biosynthesis I	TAX-85011
PWY-7717	3-hydroxy-4-methyl-anthranilic acid biosynthesis I	
PWY-7601	arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)	TAX-2759
PWY-7466	acetone degradation III (to propane-1,2-diol)	TAX-40674
PWY-723	alkylnitronates degradation	TAX-4751
PWY-723	2-nitropropane degradation	
TRIGLSYN-PWY	diacylglycerol and triacylglycerol biosynthesis	TAX-2759
TRIGLSYN-PWY	triglyceride biosynthesis	
TRIGLSYN-PWY	Kennedy pathway	
TRIGLSYN-PWY	TAG biosynthesis	
PWY-7196	superpathway of pyrimidine ribonucleosides salvage	TAX-2157
PWY-7196		TAX-4751
PWY-7196		TAX-2
PWY-7196		TAX-33090
PWY-5033	nicotinate degradation II	TAX-1239
PWY-5067	glycogen biosynthesis II (from UDP-D-Glucose)	TAX-4751
PWY-5067		TAX-33208
PWY-6943	testosterone and androsterone degradation to androstendione	TAX-2
PWY-6943	testosterone and androsterone degradation to androst-4-en-3,17-dione	
PHOTOALL-PWY	oxygenic photosynthesis	TAX-38254
PHOTOALL-PWY	C3 photosynthesis	TAX-2830
PHOTOALL-PWY		TAX-543769
PHOTOALL-PWY		TAX-33634
PHOTOALL-PWY		TAX-3027
PHOTOALL-PWY		TAX-33682
PHOTOALL-PWY		TAX-2763
PHOTOALL-PWY		TAX-1117
PHOTOALL-PWY		TAX-33090
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	TAX-2759
POLYAMINSYN3-PWY	polyamn	TAX-2
PWY-6622	heptadecane biosynthesis	TAX-33090
PWY-6622	alkane biosynthesis	TAX-4751
PWY-6622		TAX-2
PWY-6491	D-galacturonate degradation III	TAX-4751
PWY-7832	biosynthesis of ABH and Lewis epitopes from type 1 precursor disaccharide	TAX-33208
PWY-7821	tunicamycin biosynthesis	TAX-2
PWY-5994	palmitate biosynthesis I (animals and fungi)	TAX-33154
PWY-5994	palmitic acid biosynthesis	
PWY-5994	de novo lipogenesis	
PWY-5196	factor 430 biosynthesis	TAX-224756
PWY-5196	F430 biosynthesis	TAX-183939
PWY-5196		TAX-183925
PWY-7036	very long chain fatty acid biosynthesis II	TAX-2759
PWY-7036	cerotate biosynthesis	TAX-2
PWY-7036	hexacosanoate biosynthesis	
PWY-4242	pantothenate and coenzyme A biosynthesis III	TAX-33090
GLUTSYN-PWY	L-glutamate biosynthesis I	TAX-33090
GLUTSYN-PWY		TAX-4751
GLUTSYN-PWY		TAX-2
GLUTSYN-PWY		TAX-2157
PWY-5508	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide II	TAX-2
PWY-5508		TAX-2157
PWY-5156	superpathway of fatty acid biosynthesis II (plant)	TAX-33090
PWY-4861	UDP-D-galacturonate biosynthesis I (from UDP-D-glucuronate)	TAX-2
PWY-4861	UDP-galacturonic acid biosynthesis	TAX-3193
PWY-4861	UDP-GalA biosynthesis	
PWY0-1275	lipoate biosynthesis and incorporation II	TAX-4751
PWY0-1275		TAX-2
LYXMET-PWY	L-lyxose degradation	TAX-2
LYXMET-PWY	L-lyxose metabolism	
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	TAX-2759
PWY-5910	GGPP biosynthesis	TAX-2
PWY-7433	mucin core 1 and core 2 O-glycosylation	TAX-33208
PWY0-1356	formate to dimethyl sulfoxide electron transfer	TAX-2
PWY0-1329	succinate to cytochrome bo oxidase electron transfer	TAX-2
GLYSYN-ALA-PWY	glycine biosynthesis III	TAX-2
GLYSYN-ALA-PWY		TAX-2157
GLYSYN-ALA-PWY		TAX-2759
PWY0-1584	nitrate reduction X (dissimilatory, periplasmic)	TAX-2157
PWY0-1584	periplasmic glycerol-3-phosphate to nitrate electron transfer	TAX-2
PWY-6683	sulfate reduction III (assimilatory)	TAX-2
PWY-6683	sulfur metabolism	
PWY-6683	sulfur assimilation	
